19.3	19.5	1.558
21.7	22.2	1.441
25.5	26.6	1.122
26.6	25.4	0.943
22.5	22.5	0.778
18.5	19.7	0.719
15.1	15.2	0.665
18.9	18.9	1.228
21	22.5	1.919
20.5	21.3	2.034
20.7	20	1.781
20.1	20.5	1.531
17.2	17.5	1.805
14.1	14.9	2.224
17.3	17.8	2.337
18.5	19	2.317
21.9	21.5	2.104
23.7	23.7	1.767
22.9	22	1.497
21.7	21.8	1.006
16.7	18.2	1.064
15.7	15.9	1.083
15.1	15.6	1.022
19.5	19.2	1.003
23.4	23.1	0.96
19.6	19.5	0.98
19.6	21.1	0.857
18.5	20.1	0.805
21	19	0.722
21.5	20.1	0.674
22.5	20.2	0.65
20.8	19.9	0.648
21	22.3	0.639
22	21.9	0.634
21.9	21.3	0.486
22	22.5	0.48
20.3	20.4	0.484
23.3	23.7	0.486
19.2	19.8	0.499
17.8	19.3	0.571
16.2	16.4	0.666
14.8	15.4	0.72
13.6	14.4	0.701
17.4	17.8	0.724
17.6	18.5	0.667
16.8	17.3	0.66
15.3	15.4	0.606
18.8	19.6	0.601
18.1	18.5	0.6
17.4	18.2	0.559
14.2	14.8	0.537
14.2	14.2	0.556
14.9	15.1	0.582
18.3	15.8	0.538
20.7	18.8	0.6
21	20.8	0.554
18.7	19.2	0.554
19.3	19.7	0.505
14.9	16.5	0.485
16.7	15.7	0.483
14.7	15.3	0.628
12.6	13	0.687
13.8	13.5	0.598
18.2	17.4	0.564
19.5	18.2	0.514
18.5	17	0.64
17.2	17.6	0.52
18.4	18.3	0.484
18.7	17.9	0.51
20	18.6	0.514
20.5	18.7	0.503
21.6	19.8	0.5
22.1	19.5	0.491
21.1	20.3	0.484
19.4	19.6	0.479
20.8	19.1	0.427
19.8	19	0.437
19.8	18.9	0.438
17.9	18.2	0.422
19.1	19.4	0.417
20.6	21.6	0.442
15.5	18.7	0.47
16.4	18.1	0.582
17.2	17.4	0.571
16.2	17.2	0.624
15.6	15.3	0.678
15.4	16.1	0.67
14.3	15.6	0.682
13.2	13.4	0.705
14.1	15.5	0.679
15.2	17.2	0.681
13.3	12.8	0.647
17.8	15.7	0.744
14.9	12.9	1.122
8.5	9.7	1.964
9.4	9.7	2.277
8.6	10	2.258
8.1	8.9	1.845
9	10	1.483
9.9	12.1	1.517
11.2	12.2	1.385
12.7	13.6	1.697
8.4	9.6	1.734
6.4	5.8	2.769
8.1	9	3.556
5.7	7	3.861
4.7	4.8	3.696
3.9	4.1	3.065
4.6	3.5	2.562
4.3	2.7	2.207
2.5	1.8	1.621
5.5	6.5	0.977
8.3	9.1	0.807
8.3	9.5	0.833
9.5	10.1	0.705
12.1	12.2	0.193
12.2	12.7	0.163
10.2	11.5	0.187
10.1	10	0.215
10.1	8.7	0.218
9.4	8	0.301
8.9	9.6	0.323
9.4	8.4	0.307
10.5	11.4	0.25
7	7.4	0.261
6	4.1	0.272
7.7	8	0.265
7.7	8.6	0.246
5.6	6.3	0.253
5.7	7	0.279
5.6	6.6	0.301
3.6	4.8	0.281
